,price,bathrooms,bedrooms,city,homeType,livingArea,zipcode,priceReduction,daysOnZillow,latitude,longitude,30_year_mortgage
0,414990.0,3.0,3.0,American Fork,TOWNHOUSE,1619.0,84003,,-1,40.37259,-111.8218,2737.2895888316334
1,395990.0,3.0,2.0,American Fork,TOWNHOUSE,1421.0,84003,,-1,40.37259,-111.8218,2611.9648769402597
2,461990.0,3.0,4.0,American Fork,TOWNHOUSE,2078.0,84003,,-1,40.37259,-111.8218,3047.303349826083
3,413990.0,3.0,3.0,American Fork,TOWNHOUSE,1645.0,84003,,-1,40.37259,-111.8218,2730.6935513636663
4,413990.0,3.0,3.0,American Fork,TOWNHOUSE,1591.0,84003,,-1,40.37259,-111.8218,2730.6935513636663
5,439990.0,3.0,3.0,American Fork,TOWNHOUSE,1914.0,84003,,-1,40.372612,-111.8218,2902.190525530809
6,429990.0,3.0,2.0,American Fork,TOWNHOUSE,1768.0,84003,,-1,40.372612,-111.8218,2836.2301508511387
7,455990.0,3.0,3.0,American Fork,TOWNHOUSE,2120.0,84003,,-1,40.372612,-111.8218,3007.7271250182807
8,453990.0,3.0,3.0,American Fork,TOWNHOUSE,2086.0,84003,,-1,40.372612,-111.8218,2994.535050082347
9,898000.0,5.0,4.0,Spanish Fork,SINGLE_FAMILY,4900.0,84660,,0,40.096268,-111.66445,5923.241646234384
10,1900000.0,8.0,7.0,Mapleton,SINGLE_FAMILY,8758.0,84664,,0,,,12532.471189137335
11,399500.0,3.0,4.0,Spanish Fork,SINGLE_FAMILY,2548.0,84660,,0,40.11911,-111.65869,2635.116968452824
12,519900.0,4.0,4.0,Orem,TOWNHOUSE,2552.0,84059,,-1,40.280453,-111.74382,3429.279879596053
13,925000.0,4.0,6.0,Eagle Mountain,SINGLE_FAMILY,4660.0,84005,,0,40.306576,-112.01955,6101.334657869493
14,999999.0,5.0,7.0,Lehi,SINGLE_FAMILY,4800.0,84043,,0,40.450108,-111.89261,6596.030871929551
15,739900.0,3.0,5.0,Saratoga Springs,SINGLE_FAMILY,4161.0,84045,,0,40.302155,-111.89709,4880.408122548797
16,819900.0,3.0,5.0,Saratoga Springs,SINGLE_FAMILY,4412.0,84045,,0,,,5408.091119986158
17,519900.0,3.0,3.0,Saratoga Springs,SINGLE_FAMILY,2253.0,84045,,0,,,3429.279879596053
18,550000.0,3.0,4.0,Eagle Mountain,SINGLE_FAMILY,2485.0,84005,,0,40.297573,-112.01968,3627.8206073818606
21,830000.0,3.0,6.0,Genola,SINGLE_FAMILY,2816.0,84655,,-1,40.00372,-111.84122,5474.711098412626
22,480000.0,4.0,4.0,Eagle Mountain,SINGLE_FAMILY,2509.0,84005,,-1,40.348522,-111.96683,3166.0979846241694
23,529900.0,3.0,3.0,Saratoga Springs,SINGLE_FAMILY,3012.0,84045,,0,,,3495.240254275723
24,620900.0,3.0,3.0,Saratoga Springs,SINGLE_FAMILY,3360.0,84045,,0,,,4095.479663860722
25,568900.0,3.0,4.0,Saratoga Springs,SINGLE_FAMILY,3448.0,84045,,0,,,3752.485715526437
26,517615.0,3.0,3.0,Saratoga Springs,SINGLE_FAMILY,2945.0,84045,,0,40.36621,-111.8911,3414.2079339817487
28,504900.0,3.0,4.0,Saratoga Springs,SINGLE_FAMILY,2416.0,84045,,0,,,3330.339317576548
29,410000.0,2.0,3.0,Eagle Mountain,TOWNHOUSE,2467.0,84005,,0,40.372196,-111.96964,2704.3753618664778
30,500000.0,3.0,3.0,American Fork,SINGLE_FAMILY,1547.0,84003,,-1,40.368904,-111.78058,3298.0187339835097
31,640000.0,2.0,5.0,Alpine,SINGLE_FAMILY,2076.0,84004,,0,40.45328,-111.781624,4221.4639794988925
32,499900.0,3.0,4.0,Saratoga Springs,SINGLE_FAMILY,2471.0,84045,,0,,,3297.3591302367126
33,299000.0,2.0,2.0,Orem,CONDO,992.0,84057,,-1,40.298103,-111.70096,1972.2152029221386
34,715000.0,3.0,5.0,Eagle Mountain,SINGLE_FAMILY,3208.0,84005,,0,40.302235,-112.001236,4716.166789596418
35,699000.0,4.0,6.0,Salem,SINGLE_FAMILY,3820.0,84653,,0,40.057648,-111.65684,4610.630190108946
36,699900.0,3.0,4.0,Payson,SINGLE_FAMILY,3661.0,84651,,0,40.02011,-111.681175,4616.566623830116
37,2495000.0,6.0,4.0,Woodland Hills,SINGLE_FAMILY,4573.0,84653,,0,40.01257,-111.66526,16457.11348257771
38,3390000.0,6.0,4.0,Woodland Hills,SINGLE_FAMILY,5541.0,84653,"$405,000 (Oct 11)",-1,40.008175,-111.66129,22360.567016408193
39,659500.0,3.0,6.0,Springville,SINGLE_FAMILY,3385.0,84663,,0,40.155113,-111.57811,4350.086710124249
40,329900.0,1.0,2.0,Provo,SINGLE_FAMILY,788.0,84606,,-1,40.228912,-111.648544,2176.03276068232
41,789000.0,5.0,5.0,Elk Ridge,SINGLE_FAMILY,3236.0,84651,,-1,40.019325,-111.68319,5204.273562225978
42,2390000.0,6.0,5.0,Highland,SINGLE_FAMILY,5894.0,84003,,0,40.415882,-111.795364,15764.529548441174
43,1150000.0,5.0,7.0,Lindon,SINGLE_FAMILY,5500.0,84042,,-1,40.338898,-111.700516,7585.443088162072
44,1344995.0,4.0,4.0,Lehi,SINGLE_FAMILY,6215.0,84043,,0,40.454266,-111.878654,8871.6374142283
45,599000.0,3.0,6.0,American Fork,SINGLE_FAMILY,2957.0,84003,,-1,40.380234,-111.802574,3951.0264433122443
