,bathrooms,bedrooms,city,country,currency,daysOnZillow,group_type,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,livingArea,longitude,newConstructionType,price,priceForHDP,priceSuffix,providerListingID,rentZestimate,shouldHighlight,state,streetAddress,unit,zipcode,zpid,listing_sub_type.is_newHome,lotAreaUnit,lotAreaValue,zestimate,taxAssessedValue,listing_sub_type.is_FSBA,openHouse,listing_sub_type.is_openHouse,open_house_info.open_house_showing,datePriceChanged,priceChange,priceReduction
0,3.0,3.0,American Fork,USA,USD,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/333907b783f0d4f8738cc78a27a939e1-p_e.jpg,False,True,False,True,False,False,False,40.37259,1619.0,-111.8218,BUILDER_PLAN,414990.0,414990.0,+,30126743,2148.0,False,UT,"Madison Plan, Legacy at Meadowbrook",# B9245L,84003,2056245395,True,,,,,,,,,,,
1,3.0,2.0,American Fork,USA,USD,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/30864a134a7fc946eaddfdf43876fc2f-p_e.jpg,False,True,False,True,False,False,False,40.37259,1421.0,-111.8218,BUILDER_PLAN,395990.0,395990.0,+,30126743,2148.0,False,UT,"Buchanan Plan, Legacy at Meadowbrook",# JEVKYZ,84003,2056245396,True,,,,,,,,,,,
2,3.0,4.0,American Fork,USA,USD,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/30864a134a7fc946eaddfdf43876fc2f-p_e.jpg,False,True,False,True,False,False,False,40.37259,2078.0,-111.8218,BUILDER_PLAN,461990.0,461990.0,+,30126743,2148.0,False,UT,"Washington Plan, Legacy at Meadowbrook",# HNNN6A,84003,2056245397,True,,,,,,,,,,,
3,3.0,3.0,American Fork,USA,USD,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/333907b783f0d4f8738cc78a27a939e1-p_e.jpg,False,True,False,True,False,False,False,40.37259,1645.0,-111.8218,BUILDER_PLAN,413990.0,413990.0,+,30126743,2148.0,False,UT,"McKinley Plan, Legacy at Meadowbrook",# L3GBRZ,84003,2056245398,True,,,,,,,,,,,
4,3.0,3.0,American Fork,USA,USD,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/30864a134a7fc946eaddfdf43876fc2f-p_e.jpg,False,True,False,True,False,False,False,40.37259,1591.0,-111.8218,BUILDER_PLAN,413990.0,413990.0,+,30126743,2148.0,False,UT,"Jefferson Plan, Legacy at Meadowbrook",# 2TEC52,84003,2056245399,True,,,,,,,,,,,
5,3.0,3.0,American Fork,USA,USD,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/95a8fdbacf86113182970ef3c9e38255-p_e.jpg,False,True,False,True,False,False,False,40.372612,1914.0,-111.8218,BUILDER_PLAN,439990.0,439990.0,+,30125968,2194.0,False,UT,"Buckingham Plan, Regency at Meadowbrook",# GZG0N7,84003,2056279720,True,,,,,,,,,,,
6,3.0,2.0,American Fork,USA,USD,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/6fc2b6cc0a051adebe87e532f252156b-p_e.jpg,False,True,False,True,False,False,False,40.372612,1768.0,-111.8218,BUILDER_PLAN,429990.0,429990.0,+,30125968,2194.0,False,UT,"Birkhall Plan, Regency at Meadowbrook",# 5NORIQ,84003,2056279721,True,,,,,,,,,,,
7,3.0,3.0,American Fork,USA,USD,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/8ade450884fbc4f00d6aaef79c3efac0-p_e.jpg,False,True,False,True,False,False,False,40.372612,2120.0,-111.8218,BUILDER_PLAN,455990.0,455990.0,+,30125968,2194.0,False,UT,"Kensington Plan, Regency at Meadowbrook",# C449UG,84003,2056279722,True,,,,,,,,,,,
8,3.0,3.0,American Fork,USA,USD,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/643c82938f743e1719b3c6067cb305a9-p_e.jpg,False,True,False,True,False,False,False,40.372612,2086.0,-111.8218,BUILDER_PLAN,453990.0,453990.0,+,30125968,2194.0,False,UT,"Hillsborough Plan, Regency at Meadowbrook",# DGLGSX,84003,2056279723,True,,,,,,,,,,,
9,5.0,4.0,Spanish Fork,USA,USD,0,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f1d3b7a17ee059b96f2eb28966292330-p_e.jpg,False,True,False,False,False,False,False,40.096268,4900.0,-111.66445,BUILDER_SPEC,898000.0,898000.0,,,,False,UT,1054 S 550 W #901,# 901,84660,2054456851,True,acres,0.25,,,,,,,,,
10,8.0,7.0,Mapleton,USA,USD,0,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=40.119075775146484,-111.57716369628906&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=zoh27jr_nKo4nzYK3GFkk7dEpzg=",False,True,False,False,False,False,False,,8758.0,,BUILDER_SPEC,1900000.0,1900000.0,,,10999.0,False,UT,3067 Hidden Ln,,84664,2060943982,True,acres,0.73,1795100.0,,,,,,,,
11,3.0,4.0,Spanish Fork,USA,USD,0,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6885eebe4af259aaec106a3a14dc30e6-p_e.jpg,False,True,False,False,False,False,False,40.11911,2548.0,-111.65869,,399500.0,399500.0,,,1694.0,False,UT,240 W 700 N,,84660,11891631,,sqft,6534.0,406000.0,276200.0,True,,,,,,
